Datum;RGSCode;RGSName;Bundesland;Geschlecht;Nationalitaet;BESTAND;ZUGANG;ABGANG;
2019-01-31;101;Eisenstadt;Burgenland;M;Ausländer_innen;259;54;67;
2019-01-31;101;Eisenstadt;Burgenland;M;Inländer_innen;979;269;213;
2019-01-31;101;Eisenstadt;Burgenland;W;Ausländer_innen;193;46;59;
2019-01-31;101;Eisenstadt;Burgenland;W;Inländer_innen;699;151;153;
2019-01-31;102;Mattersburg;Burgenland;M;Ausländer_innen;186;48;45;
2019-01-31;102;Mattersburg;Burgenland;M;Inländer_innen;805;215;201;
2019-01-31;102;Mattersburg;Burgenland;W;Ausländer_innen;115;27;25;
2019-01-31;102;Mattersburg;Burgenland;W;Inländer_innen;506;116;147;
2019-01-31;103;Neusiedl am See;Burgenland;M;Ausländer_innen;237;59;38;
2019-01-31;103;Neusiedl am See;Burgenland;M;Inländer_innen;1005;316;196;
2019-01-31;103;Neusiedl am See;Burgenland;W;Ausländer_innen;199;51;33;
2019-01-31;103;Neusiedl am See;Burgenland;W;Inländer_innen;735;149;153;
2019-01-31;104;Oberpullendorf;Burgenland;M;Ausländer_innen;116;28;35;
2019-01-31;104;Oberpullendorf;Burgenland;M;Inländer_innen;805;268;187;
2019-01-31;104;Oberpullendorf;Burgenland;W;Ausländer_innen;97;27;26;
2019-01-31;104;Oberpullendorf;Burgenland;W;Inländer_innen;471;128;144;
2019-01-31;105;Oberwart;Burgenland;M;Ausländer_innen;254;64;52;
2019-01-31;105;Oberwart;Burgenland;M;Inländer_innen;1509;550;253;
2019-01-31;105;Oberwart;Burgenland;W;Ausländer_innen;157;36;22;
2019-01-31;105;Oberwart;Burgenland;W;Inländer_innen;782;188;175;
2019-01-31;106;Stegersbach;Burgenland;M;Ausländer_innen;83;23;19;
2019-01-31;106;Stegersbach;Burgenland;M;Inländer_innen;616;283;150;
2019-01-31;106;Stegersbach;Burgenland;W;Ausländer_innen;53;15;21;
2019-01-31;106;Stegersbach;Burgenland;W;Inländer_innen;382;92;92;
2019-01-31;107;Jennersdorf;Burgenland;M;Ausländer_innen;29;13;9;
2019-01-31;107;Jennersdorf;Burgenland;M;Inländer_innen;404;173;103;
2019-01-31;107;Jennersdorf;Burgenland;W;Ausländer_innen;34;10;4;
2019-01-31;107;Jennersdorf;Burgenland;W;Inländer_innen;181;51;68;
2019-01-31;201;Feldkirchen;Kärnten;M;Ausländer_innen;87;21;20;
2019-01-31;201;Feldkirchen;Kärnten;M;Inländer_innen;971;273;257;
2019-01-31;201;Feldkirchen;Kärnten;W;Ausländer_innen;55;13;14;
2019-01-31;201;Feldkirchen;Kärnten;W;Inländer_innen;364;104;100;
2019-01-31;202;Hermagor;Kärnten;M;Ausländer_innen;37;19;21;
2019-01-31;202;Hermagor;Kärnten;M;Inländer_innen;347;225;81;
2019-01-31;202;Hermagor;Kärnten;W;Ausländer_innen;21;4;13;
2019-01-31;202;Hermagor;Kärnten;W;Inländer_innen;96;30;47;
2019-01-31;203;Klagenfurt;Kärnten;M;Ausländer_innen;1476;394;352;
2019-01-31;203;Klagenfurt;Kärnten;M;Inländer_innen;3560;803;757;
2019-01-31;203;Klagenfurt;Kärnten;W;Ausländer_innen;870;198;171;
2019-01-31;203;Klagenfurt;Kärnten;W;Inländer_innen;2414;508;556;
